x,y,Wij,Uij,Dif
-3.2,-3.2,-0.110692,0.000171596,0.110863
-3.2,-2.4,-0.221329,0.000248447,0.221577
-3.2,-1.6,-0.32661,0.000347133,0.326957
-3.2,-0.8,-0.410638,0.000442872,0.411081
-3.2,0,-0.44605,0.000484992,0.446535
-3.2,0.8,-0.410638,0.000442872,0.411081
-3.2,1.6,-0.326609,0.000347133,0.326956
-3.2,2.4,-0.221328,0.000248447,0.221576
-3.2,3.2,-0.110691,0.000171596,0.110863
-2.4,-3.2,-0.221329,0.000248447,0.221577
-2.4,-2.4,-0.447854,0.000406515,0.448261
-2.4,-1.6,-0.67425,0.000661992,0.674912
-2.4,-0.8,-0.869611,0.000980693,0.870592
-2.4,0,-0.962613,0.0011483,0.963762
-2.4,0.8,-0.869611,0.000980693,0.870591
-2.4,1.6,-0.674249,0.000661992,0.674911
-2.4,2.4,-0.447853,0.000406515,0.44826
-2.4,3.2,-0.221328,0.000248447,0.221576
-1.6,-3.2,-0.32661,0.000347133,0.326957
-1.6,-2.4,-0.674251,0.000661992,0.674913
-1.6,-1.6,-1.0525,0.00136976,1.05387
-1.6,-0.8,-1.43032,0.00276734,1.43308
-1.6,0,-1.66445,0.00386296,1.66831
-1.6,0.8,-1.43032,0.00276734,1.43308
-1.6,1.6,-1.0525,0.00136976,1.05387
-1.6,2.4,-0.674249,0.000661992,0.674911
-1.6,3.2,-0.326609,0.000347133,0.326956
-0.8,-3.2,-0.410639,0.000442872,0.411082
-0.8,-2.4,-0.869612,0.000980693,0.870593
-0.8,-1.6,-1.43032,0.00276734,1.43308
-0.8,-0.8,-2.13293,0.0108626,2.1438
-0.8,0,-2.83208,0.0303704,2.86245
-0.8,0.8,-2.13293,0.0108626,2.1438
-0.8,1.6,-1.43032,0.00276734,1.43308
-0.8,2.4,-0.869611,0.000980693,0.870591
-0.8,3.2,-0.410638,0.000442872,0.411081
0,-3.2,-0.446051,0.000484992,0.446536
0,-2.4,-0.962615,0.0011483,0.963763
0,-1.6,-1.66445,0.00386296,1.66831
0,-0.8,-2.83208,0.0303704,2.86245
0,0,-5.37856,15.9155,21.2941
0,0.8,-2.83208,0.0303704,2.86245
0,1.6,-1.66445,0.00386296,1.66831
0,2.4,-0.962613,0.0011483,0.963762
0,3.2,-0.44605,0.000484992,0.446535
0.8,-3.2,-0.410639,0.000442872,0.411082
0.8,-2.4,-0.869613,0.000980693,0.870593
0.8,-1.6,-1.43032,0.00276734,1.43309
0.8,-0.8,-2.13294,0.0108626,2.1438
0.8,0,-2.83208,0.0303704,2.86245
0.8,0.8,-2.13293,0.0108626,2.1438
0.8,1.6,-1.43032,0.00276734,1.43308
0.8,2.4,-0.869611,0.000980693,0.870592
0.8,3.2,-0.410638,0.000442872,0.411081
1.6,-3.2,-0.32661,0.000347133,0.326958
1.6,-2.4,-0.674251,0.000661992,0.674913
1.6,-1.6,-1.0525,0.00136976,1.05387
1.6,-0.8,-1.43032,0.00276734,1.43309
1.6,0,-1.66445,0.00386296,1.66831
1.6,0.8,-1.43032,0.00276734,1.43308
1.6,1.6,-1.0525,0.00136976,1.05387
1.6,2.4,-0.67425,0.000661992,0.674912
1.6,3.2,-0.32661,0.000347133,0.326957
2.4,-3.2,-0.221329,0.000248447,0.221578
2.4,-2.4,-0.447855,0.000406515,0.448262
2.4,-1.6,-0.674251,0.000661992,0.674913
2.4,-0.8,-0.869613,0.000980693,0.870593
2.4,0,-0.962615,0.0011483,0.963763
2.4,0.8,-0.869612,0.000980693,0.870593
2.4,1.6,-0.674251,0.000661992,0.674913
2.4,2.4,-0.447854,0.000406515,0.448261
2.4,3.2,-0.221329,0.000248447,0.221577
3.2,-3.2,-0.110692,0.000171596,0.110864
3.2,-2.4,-0.221329,0.000248447,0.221578
3.2,-1.6,-0.32661,0.000347133,0.326958
3.2,-0.8,-0.410639,0.000442872,0.411082
3.2,0,-0.446051,0.000484992,0.446536
3.2,0.8,-0.410639,0.000442872,0.411082
3.2,1.6,-0.32661,0.000347133,0.326957
3.2,2.4,-0.221329,0.000248447,0.221577
3.2,3.2,-0.110692,0.000171596,0.110863
